City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Hermanus,ZA,-34.4187,19.2345,55.9,75,0,10.56,clear sky
1,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,100,90,11.5,mist
2,Vaini,TO,-21.2,-175.2,74.21,66,54,17.83,broken clouds
3,Hobart,AU,-42.8794,147.3294,52.27,60,75,1.01,light rain
4,Kavieng,PG,-2.5744,150.7967,86.07,66,58,14.99,broken clouds
5,Port Elizabeth,ZA,-33.918,25.5701,47.1,74,1,6.26,clear sky
6,Hofn,IS,64.2539,-15.2082,40.8,91,100,25.03,light rain
7,Hilo,US,19.7297,-155.09,80.33,75,90,5.75,light rain
8,Rikitea,PF,-23.1203,-134.9692,75.38,72,11,19.75,few clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,69.89,84,80,8.61,broken clouds
10,Pevek,RU,69.7008,170.3133,12.65,81,100,3.56,overcast clouds
11,Cidreira,BR,-30.1811,-50.2056,60.87,77,39,7.63,scattered clouds
12,Dawei,MM,14.0833,98.2,73.56,89,96,4.36,overcast clouds
13,Paamiut,GL,61.994,-49.6678,35.8,52,0,10.85,clear sky
14,Avarua,CK,-21.2078,-159.775,77.05,65,75,6.91,broken clouds
15,Port Moresby,PG,-9.4431,147.1797,84.27,68,87,3.47,overcast clouds
16,San Cristobal,VE,7.7669,-72.225,68.2,87,58,1.9,broken clouds
17,Zyryanka,RU,65.75,150.85,7.52,78,89,8.19,overcast clouds
18,Norman Wells,CA,65.282,-126.8329,25.11,82,92,7.25,overcast clouds
19,Morondava,MG,-20.2833,44.2833,75.16,71,2,5.64,clear sky
20,Port-Gentil,GA,-0.7193,8.7815,78.35,83,100,13.87,overcast clouds
21,Busselton,AU,-33.65,115.3333,60.04,95,100,20.38,overcast clouds
22,East London,ZA,-33.0153,27.9116,57.72,70,58,6.11,broken clouds
23,Chokurdakh,RU,70.6333,147.9167,-11.45,100,92,5.28,overcast clouds
24,Aripuana,BR,-9.1667,-60.6333,73.15,89,77,2.8,broken clouds
25,Bredasdorp,ZA,-34.5322,20.0403,49.28,81,0,3.13,clear sky
26,Atuona,PF,-9.8,-139.0333,77.5,77,15,19.69,few clouds
27,Sao Filipe,CV,14.8961,-24.4956,80.55,69,0,8.1,clear sky
28,Albany,US,42.6001,-73.9662,46.35,79,39,1.01,scattered clouds
29,Burnie,AU,-41.0667,145.9167,59.94,44,85,17.31,overcast clouds
30,Rio Gallegos,AR,-51.6226,-69.2181,48.78,55,15,18.68,few clouds
31,Lompoc,US,34.6391,-120.4579,67.57,65,4,10.0,clear sky
32,Ushuaia,AR,-54.8,-68.3,44.26,76,40,23.02,scattered clouds
33,Tadine,NC,-21.55,167.8833,72.45,94,100,10.0,moderate rain
34,Borovoy,RU,55.4333,86.0833,29.48,93,0,8.95,clear sky
35,Butaritari,KI,3.0707,172.7902,82.58,65,36,7.02,scattered clouds
36,Kapaa,US,22.0752,-159.319,82.38,72,20,5.01,few clouds
37,Cape Town,ZA,-33.9258,18.4232,59.11,59,0,1.99,clear sky
38,Ulaangom,MN,49.9811,92.0667,31.06,69,69,2.48,broken clouds
39,Salisbury,GB,51.0693,-1.7957,62.65,94,100,6.33,overcast clouds
40,Santa Fe,AR,-31.6333,-60.7,67.75,68,1,4.25,clear sky
41,Ribeira Grande,PT,38.5167,-28.7,68.94,72,15,17.09,few clouds
42,Bluff,NZ,-46.6,168.3333,49.68,48,85,24.14,overcast clouds
43,Dikson,RU,73.5069,80.5464,28.24,95,100,25.03,light snow
44,Codrington,AU,-38.2667,141.9667,54.93,64,63,14.25,broken clouds
45,Carnarvon,AU,-24.8667,113.6333,64.47,94,75,29.93,broken clouds
46,Guerrero Negro,MX,27.9769,-114.0611,67.19,62,22,18.16,few clouds
47,Souillac,MU,-20.5167,57.5167,73.36,79,35,10.8,scattered clouds
48,Barrow,US,71.2906,-156.7887,19.42,68,1,5.75,clear sky
49,Mataura,NZ,-46.1927,168.8643,48.49,63,100,7.81,overcast clouds
50,Batsfjord,NO,70.6345,29.7185,33.31,67,100,22.64,light snow
51,Punta Arenas,CL,-53.15,-70.9167,48.31,61,40,20.71,scattered clouds
52,Nyaunglebin,MM,17.95,96.7333,74.34,93,94,1.86,overcast clouds
53,New Norfolk,AU,-42.7826,147.0587,51.93,50,89,1.99,overcast clouds
54,Kasama,ZM,-10.2129,31.1808,67.26,48,57,4.5,broken clouds
55,Udachnyy,RU,66.4167,112.4,33.93,89,100,16.67,overcast clouds
56,Tiksi,RU,71.6872,128.8694,17.83,90,100,13.02,overcast clouds
57,Torbay,CA,47.6666,-52.7314,46.27,94,100,3.0,overcast clouds
58,Dombarovskiy,RU,50.7587,59.5386,46.54,32,99,10.02,overcast clouds
59,Kodiak,US,57.79,-152.4072,45.91,76,90,18.41,light rain
60,Sonipat,IN,28.9833,77.0167,69.8,88,0,3.78,clear sky
61,Arraial Do Cabo,BR,-22.9661,-42.0278,69.17,90,100,13.15,light rain
62,Garden City,US,42.3256,-83.331,57.45,69,1,0.0,clear sky
63,Port Hedland,AU,-20.3167,118.5667,78.85,78,40,9.22,scattered clouds
64,Constitucion,CL,-35.3333,-72.4167,56.98,74,4,10.67,clear sky
65,Longyearbyen,SJ,78.2186,15.6401,10.51,84,89,3.29,overcast clouds
66,Esperance,AU,-33.8667,121.9,72.88,50,100,12.46,light rain
67,Bambous Virieux,MU,-20.3428,57.7575,73.22,74,81,13.44,broken clouds
68,Lokoja,NG,7.8024,6.743,75.07,93,96,3.47,overcast clouds
69,Aksarka,RU,66.5606,67.7975,31.77,94,26,9.46,scattered clouds
70,Thompson,CA,55.7435,-97.8558,39.88,90,100,13.31,overcast clouds
71,Saskylakh,RU,71.9167,114.0833,18.01,98,100,1.3,overcast clouds
72,Punta Umbria,ES,37.1821,-6.9661,71.24,60,100,5.46,overcast clouds
73,Havre,FR,49.5833,0.3333,63.0,94,90,13.8,overcast clouds
74,Sungaipenuh,ID,-2.0833,101.3833,64.26,96,100,2.13,heavy intensity rain
75,Port Alfred,ZA,-33.5906,26.891,55.71,72,9,8.57,clear sky
76,Broome,US,42.2506,-75.833,48.83,73,90,1.01,overcast clouds
77,Isangel,VU,-19.55,169.2667,74.98,89,100,4.79,overcast clouds
78,Yellowknife,CA,62.456,-114.3525,31.41,90,75,5.75,broken clouds
79,Kieta,PG,-6.2167,155.6333,85.64,66,35,4.61,scattered clouds
80,Nikolskoye,RU,59.7035,30.7861,39.09,80,51,7.58,broken clouds
81,Chicama,PE,-7.8447,-79.1469,59.54,81,97,5.82,overcast clouds
82,Carutapera,BR,-1.195,-46.02,79.47,80,38,7.25,scattered clouds
83,Severo-Kurilsk,RU,50.6789,156.125,39.54,71,86,23.89,light rain
84,Klaksvik,FO,62.2266,-6.589,50.92,96,100,18.99,overcast clouds
85,Teya,RU,60.3778,92.6267,35.87,98,100,4.68,overcast clouds
86,Jamestown,US,42.097,-79.2353,54.99,71,1,3.0,clear sky
87,Cayenne,GF,4.9333,-52.3333,81.09,83,0,3.44,clear sky
88,Padang,ID,-0.9492,100.3543,73.45,90,100,7.99,overcast clouds
89,Muli,MV,2.9167,73.5667,82.06,73,91,14.41,overcast clouds
90,Ponta Do Sol,PT,32.6667,-17.1,75.0,23,75,0.92,broken clouds
91,Bandarbeyla,SO,9.4942,50.8122,76.48,85,52,10.09,broken clouds
92,Anadyr,RU,64.75,177.4833,32.5,100,75,32.99,light snow
93,Malanje,AO,-9.5402,16.341,63.82,94,100,4.38,light rain
94,Gizo,SB,-8.103,156.8419,83.93,69,86,1.59,overcast clouds
95,Georgetown,MY,5.4112,100.3354,79.9,89,76,6.91,broken clouds
96,Henties Bay,NA,-22.116,14.2845,57.85,78,100,8.48,overcast clouds
97,Riyadh,SA,24.6877,46.7219,71.74,21,1,4.21,clear sky
98,Margate,GB,51.3813,1.3862,62.96,95,100,4.0,overcast clouds
99,Coquimbo,CL,-29.9533,-71.3436,55.13,87,75,8.05,broken clouds
100,Grand Gaube,MU,-20.0064,57.6608,73.38,80,78,7.0,broken clouds
101,Oudtshoorn,ZA,-33.5907,22.2014,49.6,76,0,2.37,clear sky
102,Lebu,CL,-37.6167,-73.65,52.54,85,0,17.63,clear sky
103,Saint Anthony,US,45.0205,-93.218,70.75,42,1,3.0,clear sky
104,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,48,75,8.95,broken clouds
105,Kaeo,NZ,-35.1,173.7833,66.09,57,25,5.06,scattered clouds
106,Tuatapere,NZ,-46.1333,167.6833,50.97,52,88,15.1,overcast clouds
107,Castro,BR,-24.7911,-50.0119,55.27,98,100,6.08,overcast clouds
108,Tera,NE,14.0078,0.7531,82.87,59,99,7.05,overcast clouds
109,Bengkulu,ID,-3.8004,102.2655,74.68,91,100,4.27,overcast clouds
110,Upernavik,GL,72.7868,-56.1549,28.99,45,100,3.85,overcast clouds
111,Bethel,US,41.3712,-73.414,51.04,77,40,3.44,scattered clouds
112,Hithadhoo,MV,-0.6,73.0833,81.3,71,92,6.08,overcast clouds
113,Morganton,US,35.7454,-81.6848,60.46,78,1,0.0,clear sky
114,Mar Del Plata,AR,-38.0023,-57.5575,57.09,21,0,5.99,clear sky
115,Rocky Mountain House,CA,52.3668,-114.9188,37.83,85,100,3.6,overcast clouds
116,Dicabisagan,PH,17.0818,122.4157,80.67,83,74,6.11,broken clouds
117,Pisco,PE,-13.7,-76.2167,62.02,86,28,5.14,scattered clouds
118,Victoria,HK,22.2855,114.1577,77.32,75,89,1.01,overcast clouds
119,Lerwick,GB,60.1545,-1.1494,53.6,95,100,15.79,overcast clouds
120,Kenai,US,60.5544,-151.2583,46.09,53,1,14.97,clear sky
121,Namatanai,PG,-3.6667,152.4333,85.98,63,25,8.01,scattered clouds
122,Talnakh,RU,69.4865,88.3972,33.3,96,100,12.93,light snow
123,Saldanha,ZA,-33.0117,17.9442,56.73,75,1,13.87,clear sky
124,Orlik,RU,52.5178,99.825,23.23,70,8,1.81,clear sky
125,Eydhafushi,MV,5.1033,73.0708,82.38,71,94,14.5,overcast clouds
126,Alofi,NU,-19.0595,-169.9187,78.69,78,75,19.57,light rain
127,Haines Junction,CA,60.7522,-137.5108,32.43,57,100,0.69,overcast clouds
128,Chapais,CA,49.7834,-74.8492,37.18,96,100,9.4,overcast clouds
129,Saint-Francois,FR,46.4154,3.9054,46.67,100,99,1.14,overcast clouds
130,Zaysan,KZ,47.4667,84.8667,40.39,44,0,3.33,clear sky
131,Alpena,US,45.0617,-83.4327,51.93,76,1,0.0,clear sky
132,Hamilton,US,39.1834,-84.5333,60.76,71,1,0.0,clear sky
133,Gurupi,BR,-11.7292,-49.0686,72.68,87,96,5.55,light rain
134,Assomada,CV,15.1,-23.6833,73.09,81,2,9.62,clear sky
135,Mopipi,BW,-21.1833,24.8833,58.33,76,34,20.0,scattered clouds
136,Qaanaaq,GL,77.484,-69.3632,27.81,64,100,12.77,overcast clouds
137,Muhororo,UG,0.9381,30.7594,61.84,99,100,2.21,moderate rain
138,Gouyave,GD,12.1646,-61.7296,81.79,76,68,8.97,broken clouds
139,Caohai,CN,26.8661,104.2841,53.49,98,100,6.4,overcast clouds
140,Chodavaram,IN,17.8333,82.95,80.44,93,99,1.7,overcast clouds
141,Alta Floresta,BR,-9.8756,-56.0861,71.46,98,100,4.81,overcast clouds
142,Smithers,CA,54.7804,-127.1743,42.33,67,100,4.14,overcast clouds
143,Gorontalo,ID,0.5412,123.0595,83.46,76,89,0.49,overcast clouds
144,Homer,US,59.6425,-151.5483,44.8,70,97,5.99,overcast clouds
145,Nanortalik,GL,60.1432,-45.2371,33.84,56,84,9.75,broken clouds
146,Sao Pedro Da Aldeia,BR,-22.8392,-42.1028,68.41,93,100,9.15,overcast clouds
147,Beloha,MG,-25.1667,45.05,68.72,89,23,5.82,few clouds
148,Fortuna,US,40.5982,-124.1573,61.41,68,1,3.0,clear sky
149,Bulgan,MN,48.8125,103.5347,31.24,46,27,2.35,scattered clouds
150,Ahipara,NZ,-35.1667,173.1667,65.64,61,26,5.44,scattered clouds
151,Gloversville,US,43.0528,-74.3438,45.91,91,59,10.33,broken clouds
152,Vardo,NO,70.3705,31.1107,36.14,58,100,25.34,overcast clouds
153,Karratha,AU,-20.7377,116.8463,78.91,66,47,13.67,scattered clouds
154,Provideniya,RU,64.3833,-173.3,28.51,74,90,13.42,snow
155,Zhigansk,RU,66.7697,123.3711,17.01,94,100,14.79,light snow
156,Mayumba,GA,-3.432,10.6554,75.38,87,100,7.47,light rain
157,Adrar,MR,20.5022,-10.0711,81.63,14,99,9.37,overcast clouds
158,Xinzhi,CN,36.4989,111.7047,53.76,63,100,4.14,overcast clouds
159,Luderitz,NA,-26.6481,15.1594,70.92,25,64,12.26,broken clouds
160,Asau,RO,46.4333,26.4,48.76,70,76,3.4,broken clouds
161,Smolenka,RU,52.1352,113.4974,15.87,92,13,2.24,few clouds
162,Lubumbashi,CD,-11.6609,27.4794,71.78,63,96,3.58,overcast clouds
163,Cherskiy,RU,68.75,161.3,-0.72,97,51,8.72,broken clouds
164,Whitehorse,CA,60.7161,-135.0538,35.02,50,99,13.0,overcast clouds
165,Agadez,NE,19.75,10.25,85.73,22,86,4.76,overcast clouds
166,Sault Sainte Marie,CA,46.5168,-84.3333,50.29,62,1,0.0,clear sky
167,Salalah,OM,17.0151,54.0924,75.29,73,0,3.44,clear sky
168,Tanhacu,BR,-14.0214,-41.2481,76.57,65,95,9.86,overcast clouds
169,Hambantota,LK,6.1241,81.1185,79.11,81,96,14.52,overcast clouds
170,Bara,NG,10.3744,10.7288,76.71,78,90,6.04,overcast clouds
171,Tessalit,ML,20.1986,1.0114,80.87,13,0,9.15,clear sky
172,Sambava,MG,-14.2667,50.1667,69.15,81,30,8.97,scattered clouds
173,Marfino,RU,55.7028,37.3822,37.54,82,75,11.18,broken clouds
174,Kaffrine,SN,14.1059,-15.5508,79.97,79,79,7.76,broken clouds
175,Olinda,BR,-8.0089,-34.8553,78.76,75,95,8.55,overcast clouds
176,Pringsewu,ID,-5.3582,104.9744,74.08,92,100,2.68,overcast clouds
177,Manzhouli,CN,49.6,117.4333,27.55,71,12,5.7,few clouds
178,Barranca,PE,-10.75,-77.7667,62.96,85,70,6.6,broken clouds
179,Half Moon Bay,US,37.4636,-122.4286,65.89,65,40,1.01,scattered clouds
180,Columbus,US,39.9612,-82.9988,58.42,65,1,3.44,clear sky
181,Pacific Grove,US,36.6177,-121.9166,64.58,70,12,4.0,few clouds
182,Moreira Sales,BR,-24.0622,-53.0069,66.07,92,86,9.91,overcast clouds
183,Valparaiso,CL,-33.0393,-71.6273,56.84,82,0,6.91,clear sky
184,Passy,FR,45.9203,6.6877,55.76,66,96,3.4,overcast clouds
185,Terrace,CA,54.5163,-128.6035,42.42,73,100,1.43,overcast clouds
186,Calama,CL,-22.4667,-68.9333,64.89,13,0,18.41,clear sky
187,Charlestown,AU,-32.95,151.6667,80.94,43,49,4.0,scattered clouds
188,Havoysund,NO,70.9963,24.6622,31.08,64,100,21.36,light snow
189,Tomatlan,MX,19.9333,-105.25,82.63,81,8,6.29,clear sky
190,Zimovniki,RU,47.1483,42.4633,46.08,67,31,6.8,scattered clouds
191,Joensuu,FI,62.6012,29.7632,35.28,80,75,4.0,broken clouds
192,Geraldton,AU,-28.7667,114.6,61.21,100,90,13.8,overcast clouds
193,Bathsheba,BB,13.2167,-59.5167,79.41,89,20,8.05,few clouds
194,Mahebourg,MU,-20.4081,57.7,73.26,74,73,13.69,broken clouds
195,Port Blair,IN,11.6667,92.75,80.83,85,99,9.84,overcast clouds
196,Laguna,US,38.421,-121.4238,67.1,44,1,1.01,clear sky
197,Nemuro,JP,43.3236,145.575,48.63,61,18,17.07,few clouds
198,Yar-Sale,RU,66.8333,70.8333,32.86,92,56,12.19,broken clouds
199,Yellandu,IN,17.6,80.3333,72.84,93,96,1.23,overcast clouds
200,Cabo San Lucas,MX,22.8909,-109.9124,85.6,67,40,1.99,scattered clouds
201,Avera,US,33.194,-82.5271,60.71,45,26,1.36,scattered clouds
202,Puerto Leguizamo,CO,-0.1934,-74.7819,75.61,91,95,2.77,moderate rain
203,Goderich,CA,43.7501,-81.7165,55.9,63,5,7.43,clear sky
204,Lindsay,US,36.203,-119.0882,64.81,44,1,4.61,clear sky
205,Vitim,RU,59.4511,112.5578,31.05,75,100,8.52,overcast clouds
206,Francistown,BW,-21.17,27.5079,54.88,91,100,16.91,overcast clouds
207,Arman,RU,59.7,150.1667,15.6,40,1,8.61,clear sky
208,Talcahuano,CL,-36.7167,-73.1167,58.68,72,0,9.22,clear sky
209,Cedar City,US,37.6775,-113.0619,32.97,80,90,21.85,snow
210,Tubinskiy,RU,52.8892,58.2225,41.14,40,100,7.29,overcast clouds
211,San Quintin,MX,30.4833,-115.95,65.98,67,18,18.52,few clouds
212,Vila Velha,BR,-20.3297,-40.2925,71.55,100,90,4.61,moderate rain
213,Waipawa,NZ,-41.4122,175.5153,57.83,53,17,13.06,few clouds
214,Anloga,GH,5.7947,0.8973,80.15,81,99,13.98,overcast clouds
215,Chuy,UY,-33.6971,-53.4616,54.0,88,26,6.4,scattered clouds
216,Parrita,CR,9.5201,-84.3225,81.99,85,74,2.33,broken clouds
217,Deputatskiy,RU,69.3,139.9,-12.6,98,39,3.94,scattered clouds
218,Lorengau,PG,-2.0226,147.2712,85.95,68,41,11.97,scattered clouds
219,Clyde River,CA,70.4692,-68.5914,30.54,81,100,15.12,overcast clouds
220,Coihaique,CL,-45.5752,-72.0662,53.55,71,75,3.44,broken clouds
221,Hasaki,JP,35.7333,140.8333,57.29,74,100,12.26,moderate rain
222,Nyurba,RU,63.2842,118.3319,32.2,92,100,5.66,overcast clouds
223,Denpasar,ID,-8.65,115.2167,80.26,83,20,3.44,few clouds
224,Kahului,US,20.8947,-156.47,87.82,64,20,21.85,few clouds
225,Port Macquarie,AU,-31.4333,152.9167,73.89,62,75,6.17,broken clouds
226,Savonlinna,FI,61.8699,28.88,33.85,93,75,10.36,light intensity shower rain
227,Dali,CN,25.7,100.1833,59.4,92,86,4.63,overcast clouds
228,Kuningan,ID,-6.9758,108.4831,75.16,78,100,2.89,overcast clouds
229,Dubbo,AU,-32.25,148.6167,69.93,49,28,9.22,scattered clouds
230,Ouadda,CF,8.0777,22.4007,68.5,93,99,0.49,overcast clouds
231,Lagoa,PT,39.05,-27.9833,68.02,72,1,19.66,clear sky
232,Caravelas,BR,-17.7125,-39.2481,75.56,87,30,8.08,scattered clouds
233,Byron Bay,AU,-28.65,153.6167,76.05,65,99,6.42,overcast clouds
234,Laurel,US,39.0993,-76.8483,60.46,68,1,0.0,clear sky
235,Baghmara,IN,23.795,86.2085,73.94,96,100,6.02,overcast clouds
236,Lavrentiya,RU,65.5833,-171.0,27.97,71,100,15.84,overcast clouds
237,Luanda,AO,-8.8368,13.2343,74.1,80,48,8.97,scattered clouds
238,Harrisonburg,US,38.4496,-78.8689,59.59,57,1,0.0,clear sky
239,Bandundu,CD,-3.3167,17.3667,72.23,97,100,2.21,moderate rain
240,Zhengjiatun,CN,43.5064,123.5064,35.08,41,1,3.69,clear sky
241,Meulaboh,ID,4.1363,96.1285,77.61,85,99,4.43,overcast clouds
242,Takaka,NZ,-40.85,172.8,66.97,45,8,9.84,clear sky
243,Kaitangata,NZ,-46.2817,169.8464,49.93,50,100,10.38,overcast clouds
244,Hokitika,NZ,-42.7167,170.9667,54.88,81,100,9.71,overcast clouds
245,Mount Gambier,AU,-37.8333,140.7667,57.79,57,46,8.32,scattered clouds
246,Quelimane,MZ,-17.8786,36.8883,74.8,88,9,6.53,clear sky
247,Khatanga,RU,71.9667,102.5,30.04,98,100,12.55,light snow
248,Barcelona,ES,41.3888,2.159,66.78,90,20,1.01,few clouds
249,Bardiyah,LY,31.7561,25.0865,69.03,66,22,7.47,few clouds
250,Hoquiam,US,46.9809,-123.8893,56.28,62,1,4.61,clear sky
251,Schattdorf,CH,46.8655,8.6547,54.41,46,100,3.74,overcast clouds
252,Bonthe,SL,7.5264,-12.505,77.61,87,59,5.08,moderate rain
253,Dukat,RU,62.55,155.55,-1.32,92,100,5.39,overcast clouds
254,Te Anau,NZ,-45.4167,167.7167,52.81,63,92,6.26,overcast clouds
255,Constantine,DZ,36.365,6.6147,52.93,82,25,1.61,scattered clouds
256,Belaya Gora,RU,68.5333,146.4167,-0.98,90,59,3.74,broken clouds
257,Sur,OM,22.5667,59.5289,81.57,42,7,6.82,clear sky
258,Krasnoselkup,RU,65.7,82.4667,37.02,95,99,13.44,overcast clouds
259,Fomboni,KM,-12.28,43.7425,77.79,77,26,13.71,scattered clouds
260,Cabedelo,BR,-6.9811,-34.8339,78.49,79,92,10.47,overcast clouds
261,Majene,ID,-3.5403,118.9707,82.04,81,74,3.87,broken clouds
262,Eldorado,BR,-23.7869,-54.2836,66.07,83,99,3.31,overcast clouds
263,Baglung,NP,28.2719,83.5898,66.99,93,100,4.27,moderate rain
264,Suriapet,IN,17.15,79.6167,74.91,86,91,5.41,overcast clouds
265,Pinawa,CA,50.1489,-95.8811,57.51,63,65,6.15,broken clouds
266,San Isidro,PE,-12.1167,-77.05,66.02,82,90,1.01,overcast clouds
267,Port Hardy,CA,50.6996,-127.4199,50.11,72,100,8.86,overcast clouds
268,Visby,SE,57.6409,18.296,32.22,93,99,3.44,overcast clouds
269,Sayat,TM,38.7839,63.8803,44.47,21,1,3.09,clear sky
270,Lakatoro,VU,-16.0999,167.4164,78.64,81,89,17.05,light rain
271,Narsaq,GL,60.9167,-46.05,34.02,41,24,5.1,few clouds
272,Khonsa,IN,27.0167,95.5667,66.74,88,98,3.2,overcast clouds
273,Chippewa Falls,US,44.9369,-91.3929,63.99,53,1,6.91,clear sky
274,Abu Dhabi,AE,24.4667,54.3667,87.28,67,0,12.57,clear sky
275,Rio Grande,BR,-32.035,-52.0986,57.94,70,0,7.27,clear sky
276,Trairi,BR,-3.2778,-39.2689,79.56,81,50,11.77,scattered clouds
277,Tasiilaq,GL,65.6145,-37.6368,33.96,48,93,3.8,overcast clouds
278,Hanmer Springs,NZ,-42.5167,172.8167,57.06,55,74,8.7,broken clouds
279,Neftegorsk,RU,52.802,51.166,46.78,82,99,7.05,overcast clouds
280,Pecos,US,31.4229,-103.4932,81.3,26,1,13.8,clear sky
281,Laramie,US,41.3114,-105.5911,60.73,30,40,3.0,scattered clouds
282,Ozernovskiy,RU,51.5,156.5167,38.34,74,100,24.92,light rain
283,Kargil,IN,34.5667,76.1,37.51,72,28,2.51,scattered clouds
284,Pitimbu,BR,-7.4706,-34.8086,75.79,78,97,8.86,overcast clouds
285,Opmeer,NL,52.7067,4.9444,58.08,86,100,1.99,overcast clouds
286,Vostok,RU,46.4856,135.8833,26.67,63,78,3.85,broken clouds
287,Jumla,NP,29.2747,82.1838,53.82,99,100,4.47,overcast clouds
288,Kruisfontein,ZA,-34.0033,24.7314,45.88,72,0,5.03,clear sky
289,Srednekolymsk,RU,67.45,153.6833,3.72,92,86,4.85,overcast clouds
290,Miandrivazo,MG,-19.5167,45.4667,78.03,60,36,3.85,scattered clouds
291,Leopold,AU,-38.1833,144.4667,58.64,76,90,4.0,overcast clouds
292,Iqaluit,CA,63.7506,-68.5145,34.7,93,98,25.01,overcast clouds
293,Iquitos,PE,-3.7481,-73.2472,73.44,94,40,3.44,scattered clouds
294,Harper,LR,4.375,-7.7169,77.29,87,86,6.62,light rain
295,Bad Langensalza,DE,51.1,10.65,47.68,93,100,4.74,overcast clouds
296,Huilong,CN,31.8111,121.655,61.03,72,100,10.78,overcast clouds
297,Ekpoma,NG,6.7421,6.139,69.01,99,94,3.44,overcast clouds
298,Kushmurun,KZ,52.4503,64.6311,46.33,50,93,9.75,overcast clouds
299,Saravan,AM,39.7196,45.6483,45.25,78,86,2.44,overcast clouds
300,Manta,EC,-0.95,-80.7333,73.18,88,90,9.22,overcast clouds
301,Dzhebariki-Khaya,RU,62.2167,135.8,5.4,76,74,2.08,broken clouds
302,Miajadas,ES,39.1513,-5.9084,69.78,63,97,3.58,overcast clouds
303,Sitka,US,57.0531,-135.33,51.69,40,90,20.71,overcast clouds
304,Semporna,MY,4.4818,118.6112,81.05,85,97,3.96,overcast clouds
305,Saint-Philippe,RE,-21.3585,55.7679,71.15,77,42,10.2,scattered clouds
306,Leningradskiy,RU,69.3833,178.4167,9.14,87,100,4.65,overcast clouds
307,Lac Du Bonnet,CA,50.2536,-96.0612,57.83,61,66,6.67,broken clouds
308,Coahuayana,MX,18.7333,-103.6833,85.48,81,6,3.85,clear sky
309,Lata,PT,40.1629,-8.3327,65.8,83,69,2.71,broken clouds
310,Airai,TL,-8.9266,125.4092,71.76,66,91,2.53,overcast clouds
311,Miri,MY,4.4148,114.0089,78.96,89,64,3.15,broken clouds
312,Fort Nelson,CA,58.8053,-122.7002,37.38,54,90,4.61,overcast clouds
313,Itarema,BR,-2.9248,-39.9167,79.57,82,42,15.14,scattered clouds
314,Placido De Castro,BR,-10.3353,-67.1856,75.07,86,96,3.15,overcast clouds
315,Axim,GH,4.8699,-2.2405,77.9,87,99,7.23,light rain
316,Lasa,IT,46.6166,10.7002,38.62,53,97,2.53,overcast clouds
317,Mackay,AU,-21.15,149.2,86.68,70,1,6.64,clear sky
318,Stromness,GB,58.965,-3.296,57.45,89,73,4.0,broken clouds
319,Mumford,GH,5.2618,-0.759,77.02,88,100,8.46,moderate rain
320,Arlit,NE,18.7369,7.3853,84.43,25,71,9.71,broken clouds
321,Hami,CN,42.8,93.45,51.33,26,84,2.95,broken clouds
322,Beringovskiy,RU,63.05,179.3167,35.37,92,75,4.92,broken clouds
